#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        233.843      0.7114959E+00      0.4629406E+01      0.00
        233.835      0.6957094E-01      0.4563522E+01      0.00
        233.827     -0.5881638E+01      0.4526775E+01      0.00
        233.820     -0.6201384E+01      0.4475736E+01      0.00
        233.812     -0.1096012E+02      0.4622725E+01      0.00
        233.804      0.6037645E+01      0.4503818E+01      0.03
        233.796     -0.1732890E+01      0.4537229E+01      0.00
        233.788      0.3874988E+01      0.4534336E+01      0.02
        233.781      0.4804983E+00      0.4456255E+01      0.00
        233.773     -0.3337115E+01      0.4527753E+01      0.00
        233.765      0.2902624E+01      0.4595175E+01      0.01
        233.757     -0.5489423E+01      0.4478426E+01      0.00
        233.749      0.1071694E+01      0.4484303E+01      0.00
        233.741     -0.5044743E+01      0.4615551E+01      0.00
        233.734      0.4065481E+00      0.4559636E+01      0.00
        233.726      0.1146116E+02      0.4502936E+01      0.05
        233.718      0.1228008E+01      0.4451868E+01      0.01
        233.710      0.2567422E+01      0.4517118E+01      0.01
        233.702     -0.3503517E+01      0.4427631E+01      0.00
        233.695     -0.1502570E+01      0.4492038E+01      0.00
        233.687      0.2102867E+01      0.4533090E+01      0.01
        233.679      0.1040080E+01      0.4324332E+01      0.00
        233.671      0.5446205E+01      0.4352560E+01      0.02
        233.663      0.7965138E+01      0.4515165E+01      0.03
        233.656      0.9047410E+01      0.4388467E+01      0.04
        233.648     -0.4231195E+01      0.4281595E+01      0.00
        233.640      0.5792554E+01      0.4360655E+01      0.02
        233.632     -0.5855903E+00      0.4426394E+01      0.00
        233.624     -0.4115514E+00      0.4391763E+01      0.00
        233.617     -0.3311809E+01      0.4377037E+01      0.00
        233.609     -0.3109596E+01      0.4424800E+01      0.00
        233.601     -0.3744485E+01      0.4256932E+01      0.00
        233.593      0.8305148E+00      0.4436946E+01      0.00
        233.585      0.2598218E+01      0.4363797E+01      0.01
        233.578      0.5619501E+01      0.4339068E+01      0.02
        233.570      0.6727821E-01      0.4394734E+01      0.00
        233.562      0.1094285E+01      0.4440345E+01      0.00
        233.554     -0.2767249E+01      0.4207556E+01      0.00
        233.546      0.4812717E+00      0.4407321E+01      0.00
        233.539     -0.2690972E+01      0.4476744E+01      0.00
        233.531      0.4150359E+01      0.4386349E+01      0.02
        233.523      0.6230361E+01      0.4404777E+01      0.03
        233.515      0.4028051E+01      0.4505374E+01      0.02
        233.507     -0.3912379E+00      0.4604067E+01      0.00
        233.500      0.1599554E+01      0.4503448E+01      0.01
        233.492      0.5813643E+00      0.4556437E+01      0.00
        233.484     -0.1040603E+01      0.4441422E+01      0.00
        233.476      0.2846923E+01      0.4519010E+01      0.01
        233.468     -0.5681816E+01      0.4525290E+01      0.00
        233.461      0.6515892E+00      0.4424243E+01      0.00
        233.453     -0.4832655E+01      0.4384587E+01      0.00
