#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
       9.577       0.000       5.654       0.000     234.436    2.82257E+00    5.83214E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -610.000
       9.577       0.000       5.654       0.000     234.428    3.65693E+00    5.78027E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -600.000
       9.577       0.000       5.654       0.000     234.420    1.05397E+01    5.64410E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -590.000
       9.577       0.000       5.654       0.000     234.413    6.85217E+00    5.76655E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -580.000
       9.577       0.000       5.654       0.000     234.405    4.31697E+00    5.69514E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -570.000
       9.577       0.000       5.654       0.000     234.397    2.58770E+00    5.71316E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -560.000
       9.577       0.000       5.654       0.000     234.389    2.84281E-01    5.76684E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -550.000
       9.577       0.000       5.654       0.000     234.381   -8.53740E+00    5.78536E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -540.000
       9.577       0.000       5.654       0.000     234.374   -4.05420E+00    5.78059E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -530.000
       9.577       0.000       5.654       0.000     234.366   -1.30363E-01    5.75273E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -520.000
       9.577       0.000       5.654       0.000     234.358   -6.86699E+00    5.87351E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -510.000
       9.577       0.000       5.654       0.000     234.350    7.09293E+00    5.78469E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -500.000
       9.577       0.000       5.654       0.000     234.342   -5.52672E+00    5.75262E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -490.000
       9.577       0.000       5.654       0.000     234.335   -6.85045E+00    5.67837E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -480.000
       9.577       0.000       5.654       0.000     234.327    8.11173E-01    5.77266E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -470.000
       9.577       0.000       5.654       0.000     234.319    1.56201E+00    5.72027E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -460.000
       9.577       0.000       5.654       0.000     234.311   -5.96649E+00    5.89678E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -450.000
       9.577       0.000       5.654       0.000     234.303    1.37004E-01    5.73628E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -440.000
       9.577       0.000       5.654       0.000     234.296   -7.08199E+00    5.66956E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -430.000
