#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
      -1.850       0.000      -2.250       0.000     234.740   -7.56514E+00    5.94151E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350   -1000.000
      -1.850       0.000      -2.250       0.000     234.733    3.80218E-01    6.16368E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -990.000
      -1.850       0.000      -2.250       0.000     234.725   -9.29715E-01    5.90011E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -980.000
      -1.850       0.000      -2.250       0.000     234.717   -9.89417E+00    5.90568E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -970.000
      -1.850       0.000      -2.250       0.000     234.709    6.12251E+00    5.92573E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -960.000
      -1.850       0.000      -2.250       0.000     234.701   -4.29353E-01    5.80864E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -950.000
      -1.850       0.000      -2.250       0.000     234.694   -1.04233E+01    5.81790E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -940.000
      -1.850       0.000      -2.250       0.000     234.686    6.65641E+00    5.88613E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -930.000
      -1.850       0.000      -2.250       0.000     234.678    7.62915E+00    5.83488E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -920.000
      -1.850       0.000      -2.250       0.000     234.670    8.16489E+00    5.79478E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -910.000
      -1.850       0.000      -2.250       0.000     234.662   -2.61568E+00    5.82367E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -900.000
      -1.850       0.000      -2.250       0.000     234.655    1.31685E+00    5.99508E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -890.000
      -1.850       0.000      -2.250       0.000     234.647    1.68825E+00    5.77753E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -880.000
      -1.850       0.000      -2.250       0.000     234.639   -7.85932E+00    5.79572E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -870.000
      -1.850       0.000      -2.250       0.000     234.631    2.62062E+00    5.86011E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -860.000
      -1.850       0.000      -2.250       0.000     234.623    6.00265E+00    5.74019E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -850.000
      -1.850       0.000      -2.250       0.000     234.616    4.46153E+00    6.01123E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -840.000
      -1.850       0.000      -2.250       0.000     234.608   -1.07371E+00    5.83614E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0358582      2.3167350    -830.000
