#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        233.937      0.5994427E+01      0.5108085E+01      0.03
        233.929      0.4888200E+00      0.5651606E+01      0.00
        233.921     -0.7313139E+01      0.5119536E+01      0.00
        233.913     -0.6760933E+00      0.5126217E+01      0.00
        233.905      0.6754811E+00      0.4986040E+01      0.00
        233.898      0.5961886E+01      0.5039009E+01      0.03
        233.890      0.4713422E+01      0.4917810E+01      0.02
        233.882      0.1123101E+02      0.5051396E+01      0.05
        233.874      0.4891036E+01      0.5051119E+01      0.02
        233.866     -0.1038857E+01      0.4956830E+01      0.00
        233.859      0.8161238E+00      0.4923680E+01      0.00
        233.851     -0.9655006E-01      0.4919072E+01      0.00
        233.843      0.1836516E+01      0.4952802E+01      0.01
        233.835     -0.2017561E+01      0.4882463E+01      0.00
        233.827     -0.5234097E+01      0.4843292E+01      0.00
        233.820     -0.4883997E+01      0.4788828E+01      0.00
        233.812     -0.1122873E+01      0.4946247E+01      0.00
        233.804      0.3841006E+01      0.4819162E+01      0.02
        233.796      0.1880175E+00      0.4855056E+01      0.00
        233.788     -0.2622934E+01      0.4852105E+01      0.00
        233.781      0.1773258E+01      0.4768694E+01      0.01
        233.773      0.5660979E+01      0.4845347E+01      0.02
        233.765     -0.2043588E+01      0.4917643E+01      0.00
        233.757     -0.5639713E+01      0.4792842E+01      0.00
        233.749      0.2679166E+00      0.4799272E+01      0.00
        233.741     -0.1017936E+02      0.4939884E+01      0.00
        233.734      0.1818306E+01      0.4880181E+01      0.01
        233.726      0.7976336E+01      0.4819637E+01      0.03
        233.718     -0.2482743E+01      0.4765114E+01      0.00
        233.710     -0.3381251E+01      0.4835096E+01      0.00
        233.702      0.4045158E+01      0.4739447E+01      0.02
        233.695     -0.1376751E+02      0.4808528E+01      0.00
        233.687      0.2880903E+01      0.4852612E+01      0.01
        233.679     -0.4727684E+01      0.4629272E+01      0.00
        233.671     -0.5400145E+01      0.4659623E+01      0.00
        233.663      0.9076511E+01      0.4833839E+01      0.04
        233.656      0.1089469E+01      0.4698332E+01      0.00
        233.648     -0.1417627E+01      0.4584044E+01      0.00
        233.640      0.4468201E+01      0.4668822E+01      0.02
        233.632     -0.8922000E+01      0.4739340E+01      0.00
        233.624     -0.6591133E+01      0.4702394E+01      0.00
        233.617      0.1147568E+01      0.4686757E+01      0.00
        233.609     -0.7472023E+01      0.4738033E+01      0.00
        233.601     -0.1151718E+01      0.4558409E+01      0.00
        233.593      0.4398436E+01      0.4751305E+01      0.02
        233.585     -0.1006566E+02      0.4673103E+01      0.00
        233.578     -0.2199010E+01      0.4646750E+01      0.00
        233.570      0.2969920E+01      0.4706494E+01      0.01
        233.562     -0.1390244E+01      0.4755472E+01      0.00
        233.554      0.9378977E+00      0.4506287E+01      0.00
        233.546      0.6801143E+01      0.4720365E+01      0.03
        233.539     -0.4510350E+01      0.4794849E+01      0.00
        233.531      0.3980990E+01      0.4698160E+01      0.02
        233.523      0.2149917E+01      0.4718027E+01      0.01
        233.515     -0.7452886E+01      0.4825909E+01      0.00
        233.507      0.3392518E+01      0.4931758E+01      0.01
        233.500      0.1384570E+02      0.4824108E+01      0.06
        233.492      0.6271837E+00      0.4881001E+01      0.00
        233.484      0.3295326E+01      0.4757922E+01      0.01
        233.476      0.1694744E+01      0.4841168E+01      0.01
        233.468     -0.1280368E+01      0.4848027E+01      0.00
        233.461     -0.1367997E+02      0.4739900E+01      0.00
        233.453     -0.1093553E+02      0.4697538E+01      0.00
        233.445      0.3526654E+01      0.4815514E+01      0.02
        233.437      0.2152778E+01      0.4879766E+01      0.01
        233.429     -0.7781325E+01      0.4804912E+01      0.00
        233.422      0.2481143E+01      0.4802022E+01      0.01
        233.414      0.5365291E+01      0.4678061E+01      0.02
        233.406     -0.8330852E+01      0.4676479E+01      0.00
        233.398     -0.1107453E+01      0.4855901E+01      0.00
        233.390      0.1742968E+01      0.4702418E+01      0.01
        233.383      0.4092202E+01      0.4797386E+01      0.02
        233.375     -0.6809673E+01      0.4897143E+01      0.00
        233.367      0.3164454E+00      0.4892891E+01      0.00
        233.359      0.2542966E+01      0.4781955E+01      0.01
        233.351     -0.4100339E+01      0.4753906E+01      0.00
        233.343      0.8782475E+01      0.4866323E+01      0.04
        233.336      0.1748349E+01      0.4864622E+01      0.01
        233.328      0.4088199E+01      0.4951931E+01      0.02
        233.320      0.1250481E+01      0.4901580E+01      0.01
        233.312     -0.5479252E+01      0.4808507E+01      0.00
        233.304      0.2899246E+01      0.4906943E+01      0.01
        233.297      0.7308327E+00      0.4932282E+01      0.00
        233.289      0.4413013E+01      0.4860526E+01      0.02
        233.281      0.5930283E+01      0.4955873E+01      0.03
        233.273      0.4021567E+01      0.5005992E+01      0.02
        233.265     -0.4122055E+01      0.4960364E+01      0.00
        233.258     -0.6388068E-01      0.4886655E+01      0.00
        233.250     -0.3306244E+01      0.5055849E+01      0.00
        233.242     -0.7266445E+00      0.5071532E+01      0.00
        233.234     -0.6217449E+01      0.5071172E+01      0.00
        233.226     -0.4796211E+01      0.5106671E+01      0.00
        233.219     -0.2600429E+01      0.5124334E+01      0.00
        233.211      0.5321027E+01      0.5075033E+01      0.02
        233.203      0.6497914E+01      0.5077888E+01      0.03
        233.195      0.8285066E+01      0.5052427E+01      0.04
        233.187      0.4724688E+01      0.5141267E+01      0.02
 
