#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        234.740      0.1208541E+02      0.5219342E+01      0.05
        234.733     -0.2620945E+01      0.5422143E+01      0.00
        234.725      0.1938605E+01      0.5180952E+01      0.01
        234.717     -0.9026864E+01      0.5188562E+01      0.00
        234.709      0.1465852E+01      0.5211583E+01      0.01
        234.701      0.4945970E+01      0.5107188E+01      0.02
        234.694     -0.1677411E+02      0.5109106E+01      0.00
        234.686     -0.9401873E+01      0.5174823E+01      0.00
        234.678     -0.6942203E+01      0.5127569E+01      0.00
        234.670     -0.7181868E+01      0.5093801E+01      0.00
        234.662     -0.6848546E+01      0.5121264E+01      0.00
        234.655      0.4467316E+01      0.5268891E+01      0.02
        234.647      0.4022235E+01      0.5083517E+01      0.02
        234.639      0.3243623E+01      0.5100683E+01      0.01
        234.631      0.2771262E+01      0.5154835E+01      0.01
        234.623      0.1972164E+01      0.5050067E+01      0.01
        234.616     -0.7699784E+01      0.5285132E+01      0.00
        234.608     -0.1557852E+02      0.5124392E+01      0.00
        234.600      0.2010371E+01      0.5083709E+01      0.01
        234.592      0.8614829E+00      0.5106704E+01      0.00
        234.584     -0.1350558E+01      0.5199120E+01      0.00
        234.577     -0.2816772E+01      0.5006494E+01      0.00
        234.569      0.5606796E+01      0.5162284E+01      0.02
        234.561      0.4910552E+00      0.5227378E+01      0.00
        234.553      0.8857114E+01      0.4988239E+01      0.04
        234.545      0.4113195E+01      0.5061062E+01      0.02
        234.538      0.2082813E+01      0.5220340E+01      0.01
        234.530     -0.4752688E+01      0.5100755E+01      0.00
        234.522      0.1402254E+01      0.5017330E+01      0.01
        234.514     -0.4634589E+01      0.4972994E+01      0.00
        234.506     -0.2187468E+01      0.5049029E+01      0.00
        234.498      0.6504389E+01      0.4930611E+01      0.03
        234.491     -0.7635075E+01      0.5013391E+01      0.00
        234.483     -0.1381121E+01      0.4927857E+01      0.00
        234.475     -0.3047656E+01      0.5036813E+01      0.00
        234.467      0.3303914E+01      0.4929653E+01      0.01
        234.459     -0.2885068E+01      0.4966702E+01      0.00
        234.452      0.3740712E-01      0.4948874E+01      0.00
        234.444      0.5820657E-01      0.4965451E+01      0.00
        234.436      0.6756603E+00      0.5131613E+01      0.00
        234.428      0.6874856E+00      0.5086759E+01      0.00
        234.420     -0.7835611E+00      0.4974414E+01      0.00
        234.413      0.6703046E+01      0.5075903E+01      0.03
        234.405     -0.4398502E+00      0.5014565E+01      0.00
        234.397      0.4526943E+01      0.5028520E+01      0.02
        234.389      0.4650536E+01      0.5079645E+01      0.02
        234.381      0.2427027E+01      0.5107825E+01      0.01
        234.374      0.3341394E+01      0.5091302E+01      0.01
        234.366      0.3360743E-01      0.5061947E+01      0.00
        234.358     -0.2214360E-01      0.5181603E+01      0.00
        234.350     -0.7701488E+01      0.5093631E+01      0.00
        234.342      0.5365838E+01      0.5067398E+01      0.02
        234.335     -0.5115234E+01      0.4999182E+01      0.00
        234.327     -0.4652400E+01      0.5082673E+01      0.00
        234.319     -0.1069275E+02      0.5035947E+01      0.00
        234.311      0.1574309E+01      0.5195419E+01      0.01
        234.303      0.1777229E+01      0.5053572E+01      0.01
        234.296      0.1940463E+01      0.4994452E+01      0.01
        234.288      0.3615857E+01      0.5023231E+01      0.02
        234.280     -0.4136147E+01      0.5094965E+01      0.00
        234.272     -0.5962863E+01      0.4970767E+01      0.00
        234.264     -0.7691478E+01      0.5003248E+01      0.00
        234.257     -0.3782486E+01      0.4935858E+01      0.00
        234.249      0.8676922E-01      0.4908632E+01      0.00
        234.241      0.6561838E+01      0.5016649E+01      0.03
        234.233      0.2392039E+01      0.4884583E+01      0.01
        234.225      0.6403923E+01      0.4902654E+01      0.03
        234.218     -0.2507296E+01      0.4833369E+01      0.00
        234.210     -0.4000496E+01      0.4778932E+01      0.00
        234.202     -0.2710055E+01      0.4867980E+01      0.00
        234.194     -0.4858791E+00      0.4827171E+01      0.00
        234.186     -0.2521532E+01      0.4905435E+01      0.00
        234.179     -0.2467628E+00      0.4810870E+01      0.00
        234.171     -0.1349866E+01      0.4805250E+01      0.00
        234.163      0.8950329E+01      0.4719929E+01      0.04
        234.155     -0.5500632E+01      0.4792378E+01      0.00
        234.147     -0.6004893E+01      0.4847165E+01      0.00
        234.139      0.2242867E+00      0.4840608E+01      0.00
        234.132     -0.5261353E+01      0.4853191E+01      0.00
        234.124     -0.1524500E+01      0.4716247E+01      0.00
        234.116      0.3295342E+01      0.4778737E+01      0.01
        234.108     -0.5454879E+01      0.4691364E+01      0.00
        234.100     -0.7946739E+01      0.4662276E+01      0.00
        234.093     -0.2213509E-01      0.4817884E+01      0.00
        234.085      0.5293068E+01      0.4807345E+01      0.02
        234.077     -0.1301381E+01      0.4804549E+01      0.00
        234.069     -0.6635329E+01      0.4844829E+01      0.00
        234.061     -0.6220649E+01      0.4819328E+01      0.00
        234.054     -0.1859706E+01      0.4865569E+01      0.00
        234.046     -0.2426900E+01      0.4780521E+01      0.00
        234.038      0.3293074E+01      0.4747339E+01      0.01
        234.030      0.6422617E+01      0.4662063E+01      0.03
        234.022      0.5150551E+01      0.4824045E+01      0.02
        234.015     -0.3106275E+01      0.4898551E+01      0.00
        234.007     -0.6029732E+00      0.4919749E+01      0.00
        233.999      0.2590138E+01      0.4991580E+01      0.01
        233.991     -0.4324234E+01      0.5021861E+01      0.00
        233.983     -0.1786786E+01      0.5021708E+01      0.00
        233.976     -0.3700150E+01      0.5116913E+01      0.00
        233.968     -0.3714047E+01      0.5002686E+01      0.00
        233.960     -0.6946181E+01      0.5230723E+01      0.00
        233.952      0.1146281E+02      0.5093737E+01      0.05
        233.944      0.5282480E+01      0.4975863E+01      0.02
