#       x_input         y_input        x_output        y_output          x_diff          y_diff                
#        arcsec          arcsec          arcsec          arcsec          arcsec          arcsec                
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
         -1.850          -2.250          -1.850          -2.250           0.000           0.000
