#        x     x_err         y     y_err           freq               flux           flux_err         major     major_err         minor     minor_err            PA        PA_err
#   arcsec    arcsec    arcsec    arcsec            GHz                mJy                mJy        arcsec        arcsec        arcsec        arcsec        degree        degree
    -9.427     0.000     5.900     0.000        234.374     -0.3341561E+01      0.5022090E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.366      0.8373918E+01      0.4993120E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.358     -0.1292913E+01      0.5111134E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.350      0.4535781E+01      0.5024345E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.342     -0.8051564E+00      0.4998455E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.335      0.5807047E+00      0.4931153E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.327     -0.3664508E+00      0.5013494E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.319      0.3047650E+01      0.4967391E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.311     -0.1023007E+01      0.5124677E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.303     -0.2738742E+00      0.4984748E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.296     -0.1074982E+01      0.4926419E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.288     -0.2902699E+01      0.4954793E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.280      0.4147020E+01      0.5025536E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.272      0.2805592E+01      0.4903018E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.264     -0.5474035E+00      0.4935043E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.257     -0.8242058E+01      0.4868558E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.249      0.9646652E+00      0.4841691E+01         0.000         0.000         0.000         0.000         0.000         0.000
